PED,UsuarioID,TIPO_CLIENTE_BEME,SEGMENTO_BEME,NANO_SEGMENTO,MICRO_SEGMENTO,MODULO,ZONA,CTA_CTA_BIPERSONAL,CTA_CTA_UNIPERSONAL,CUENTA_PROVEEDOR,CUENTA_RUT,CUENTA_EMPRENDEDOR,CAJA_VECINA,CHEQ_MICROEMPRESA,CHEQ_OTRA,CTA_CTE_OTRA,LINEA_DE_CREDITO,TARJETA,EDAD,COMPORTAMIENTO_SBIF,COMPORTAMIENTO_BEME,SEXO,TIPO_PERSONA,TIPO_SOCIEDAD_CRITERIO_BEME,TRX_APP,TRX_BATCH,TRX_BECO,TRX_Buzonera,TRX_Caja,TRX_Caja_Vecina,TRX_Cajero_Automatico,TRX_Dispensadores,TRX_FALABELLA,TRX_Internet,TRX_Meson,TRX_MYPE,TRX_RedBanc,TRX_RedCompra,TRX_ServiEstado,Uso_Digital_3M,Uso_Web_3M,Uso_App_3M,Uso_Digital_Anual,Uso_Web_Anual,Uso_App_Anual,Con_Clave_Atm,Con_Clave_INET,Hab_BIPass,PERFIL_RIESGO,INF_COMERCIAL,GRP_PROPENSION,TIPO_CLIENTE,TIENE_PREAP,CANAL
20230131,1562159,deudor comercial,TRANSPORTE,CARGA,TRANSPORTE DE CARGA,VIII Región Cordillera,ZONA SUR,0,0,0,1,0,0,0,0,0,0,0,51,REGULAR,SIN COMPORTAMIENTO BEME (REGULAR),F,1,Sin identifcar,31.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,2.0,0.0,0.0,0,0,0,1,0,1,1,0,0,MALO,CON OBSERVACIONES - EVALUABLE,[2] Media Propensión,Cliente Financiado,No,
20230131,861935,deudor comercial,COMERCIO,COMERCIO DETALLISTA,SIN MICRO SEGMENTO,VII Región,ZONA SUR,0,0,0,1,0,0,0,0,0,0,0,56,REGULAR,EXCELENTE,M,1,Sin identifcar,14.0,0.0,1.0,0.0,0.0,6.0,3.0,0.0,0.0,5.0,0.0,0.0,6.0,0.0,0.0,0,0,0,0,0,0,0,0,0,EXCELENTE,SUJETO DE CREDITO - EVALUABLE,[3] Baja propensión,Cliente Financiado,No,
20230131,4670183,no deudor,AGRICOLA,CEREALES,TRIGO,VIII Región,ZONA SUR,0,0,0,1,0,0,0,0,0,0,0,55,BUENO (CLIENTE SIN ACTIVIDAD SBIF EN LOS ULTIMOS 6 MESES),SIN COMPORTAMIENTO BEME (BUENO),M,1,Sin identifcar,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,BUENO,SUJETO DE CREDITO - EVALUABLE,[2] Media Propensión,Cliente no Financiado,No,
20230131,1981715,castigado,PESCA,PESCADOR ARTESANAL,PESCADOR,X Región de los Lagos,ZONA SUR,0,0,0,1,0,0,1,0,0,0,0,57,EXCELENTE,MALO,M,1,Sin identifcar,1.0,0.0,0.0,0.0,3.0,8.0,15.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,1,0,1,1,0,1,1,0,1,MALO,NO SUJETO DE CREDITO ,[2] Media Propensión,Castigado o sin Producto ,No,
20230131,1766231,castigado,OMS,SIN NANO SEGMENTO,SIN MICRO SEGMENTO,Metrop. Norte,ZONA CENTRO,0,0,0,1,0,0,0,0,0,0,0,55,BUENO (CLIENTE SIN ACTIVIDAD SBIF EN LOS ULTIMOS 6 MESES),MALO,F,1,Sin identifcar,38.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,1,1,1,1,1,MALO,NO SUJETO DE CREDITO ,[1] Alta Propensión,Cliente no Financiado,SI,RED SUCURSALES
20230131,172160,no deudor,TRANSPORTE,PASAJEROS,TAXI COLECTIVO (N.I.P),VI Región,ZONA NORTE,0,0,0,1,0,0,0,0,0,0,0,59,EXCELENTE,SIN COMPORTAMIENTO BEME (BUENO),F,1,Sin identifcar,17.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,MALO,NO SUJETO DE CREDITO ,[3] Baja propensión,Cliente no Financiado,SI,SALESFORCE - CCL
20230131,2479127,no deudor,COMERCIO,COMERCIO DETALLISTA,COMERCIO DE VERDURAS Y FRUTAS (VERDULERIA),V Región Cordillera,ZONA NORTE,0,0,0,1,0,0,0,0,0,0,0,56,BUENO (CLIENTE SIN ACTIVIDAD SBIF EN LOS ULTIMOS 6 MESES),SIN COMPORTAMIENTO BEME (BUENO),M,1,Sin identifcar,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,MALO,NO SUJETO DE CREDITO ,[3] Baja propensión,Castigado o sin Producto ,No,
20230131,3169683,no deudor,COMERCIO,COMERCIO INFORMAL Y SEMIFORMAL,FERIA ESTABLECIDA,I Región,ZONA NORTE,0,0,0,1,0,0,0,0,0,0,1,54,EXCELENTE,EXCELENTE,F,1,Sin identifcar,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,BUENO,NO SUJETO DE CREDITO ,[3] Baja propensión,Castigado o sin Producto ,No,
20230131,2292805,deudor comercial,COMERCIO,COMERCIO DE BARRIO,ALMACENES PEQUEÑOS (VENTA DE ALIMENTOS),X Región de los Lagos,ZONA SUR,0,0,0,1,0,0,1,0,0,0,0,57,EXCELENTE,EXCELENTE,F,1,Sin identifcar,70.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,1,1,1,1,1,1,1,1,1,BUENO,SUJETO DE CREDITO - EVALUABLE,[2] Media Propensión,Cliente no Financiado,No,
20230131,4385811,deudor comercial,PESCA,PESCADOR ARTESANAL,ORILLERO; ALGUERO;BUZO APNEA,II Región,ZONA NORTE,0,0,0,1,0,0,0,0,0,0,0,57,EXCELENTE,MALO,M,1,Sin identifcar,0.0,0.0,4.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,1,1,1,BUENO,SUJETO DE CREDITO - EVALUABLE,[1] Alta Propensión,Cliente no Financiado,SI,SALESFORCE - WEB/
