UsuarioID,TIPO_CLIENTE_BEME,SEGMENTO_BEME,NANO_SEGMENTO,MICRO_SEGMENTO,MODULO,ZONA,CTA_CTA_BIPERSONAL,CTA_CTA_UNIPERSONAL,CUENTA_PROVEEDOR,CUENTA_RUT,CUENTA_EMPRENDEDOR,CAJA_VECINA,CHEQ_MICROEMPRESA,CHEQ_OTRA,CTA_CTE_OTRA,LINEA_DE_CREDITO,TARJETA,EDAD,COMPORTAMIENTO_SBIF,COMPORTAMIENTO_BEME,SEXO,TIPO_PERSONA,TIPO_SOCIEDAD_CRITERIO_BEME,TRX_APP,TRX_BATCH,TRX_BECO,TRX_Buzonera,TRX_Caja,TRX_Caja_Vecina,TRX_Cajero_Automatico,TRX_Dispensadores,TRX_FALABELLA,TRX_Internet,TRX_Meson,TRX_MYPE,TRX_RedBanc,TRX_RedCompra,TRX_ServiEstado,Uso_Digital_3M,Uso_Web_3M,Uso_App_3M,Uso_Digital_Anual,Uso_Web_Anual,Uso_App_Anual,Con_Clave_Atm,Con_Clave_INET,Hab_BIPass,PERFIL_RIESGO,INF_COMERCIAL,GRP_PROPENSION,TIPO_CLIENTE,TIENE_PREAP,CANAL
1982811,deudor no comercial,OMS,Segmento C,Segmento C,Region 2,Zona 3,1,0,1,1,0,0,0,0,0,1,1,32,Regular,Regular,M,2,Sociedad,50,11,57,78,31,94,6,7,81,22,65,25,7,55,97,1,1,1,0,0,0,1,1,0,Malo,CON OBSERVACIONES-EVALUABLE,[1]Alta_Propension,Cliente No Financiado,SI,SALESFORCE -WEB
4703628,castigado,Pesca,Segmento A,Segmento C,Region 3,Zona 3,0,0,0,1,0,1,0,0,0,0,1,72,Regular,Malo,M,1,SPA,25,67,22,56,15,40,55,37,15,41,55,36,29,5,56,0,1,1,1,0,0,0,1,1,Bueno,NO SUJETO DE CREDITO,[1]Alta_Propension,Cliente Finaciado,NO,SALESFORCE - CCL
5767651,sin producto,Agricola,Segmento B,Segmento B,Region 1,Zona 1,1,1,0,0,0,1,0,1,1,0,0,50,Malo,Regular,M,2,Sociedad,3,55,66,43,17,85,29,15,43,48,33,88,82,48,40,0,0,1,0,0,1,0,0,1,Excelente,CON OBSERVACIONES-EVALUABLE,[1]Alta_Propension,Castigado o Sin Producto,SI,SALESFORCE -WEB
4023529,deudor no comercial,Transporte,Segmento C,Segmento B,Region 3,Zona 2,0,0,1,1,1,0,0,0,0,0,1,40,Bueno,Regular,F,1,SPA,88,77,68,42,96,31,13,79,6,93,18,94,79,23,37,1,0,0,0,1,1,0,0,1,Bueno,SUJETO DE CREDITO-EVALUABLE,[2]Media_Propension,Cliente No Financiado,SI,RED SUCURSALES
2422223,deudor no comercial,Agricola,Segmento A,Segmento C,Region 2,Zona 3,1,1,1,0,0,0,0,0,0,1,1,57,Malo,Malo,F,1,Sociedad,27,47,95,71,46,71,62,33,33,27,41,6,38,27,45,0,1,1,1,1,1,1,1,0,Bueno,SUJETO DE CREDITO-EVALUABLE,[2]Media_Propension,Castigado o Sin Producto,SI,NULL
4808284,deudor uso medio de pago,Transporte,Segmento B,Segmento B,Region 2,Zona 3,1,0,0,1,0,1,1,0,1,1,1,26,Malo,Bueno,F,2,Cooperativas,1,84,92,93,81,41,61,74,34,30,59,49,48,12,70,1,0,1,1,1,0,1,0,0,Bueno,NO SUJETO DE CREDITO,[2]Media_Propension,Castigado o Sin Producto,SI,SALESFORCE -WEB
6293418,no deudor,Pesca,Segmento A,Segmento B,Region 2,Zona 3,1,1,1,0,0,1,1,1,1,1,1,73,Malo,Malo,M,1,Cooperativas,66,20,78,72,48,30,42,99,98,29,81,11,95,71,84,0,1,0,0,1,0,0,1,1,Excelente,NO SUJETO DE CREDITO,[3]Baja_Propension,Castigado o Sin Producto,NO,VENTA CENTRALIZADA
5637028,deudor uso medio de pago,Transporte,Segmento B,Segmento C,Region 3,Zona 1,1,1,0,1,0,0,1,1,0,0,0,56,Malo,Bueno,M,1,SPA,76,2,44,68,4,87,12,4,93,80,95,41,58,66,74,0,1,1,0,1,0,0,1,1,Excelente,SUJETO DE CREDITO-EVALUABLE,[1]Alta_Propension,Cliente No Financiado,SI,SALESFORCE -WEB
5945861,no deudor,OMS,Segmento C,Segmento B,Region 3,Zona 1,1,1,0,0,0,1,1,0,0,0,1,41,Regular,Malo,F,2,Sociedad,73,22,91,98,65,11,98,78,45,44,68,12,39,59,14,0,0,0,0,0,0,0,0,0,Bueno,NO SUJETO DE CREDITO,[1]Alta_Propension,Cliente Finaciado,NO,SALESFORCE -WEB
5912013,sin producto,Pesca,Segmento A,Segmento A,Region 2,Zona 1,1,0,0,0,0,1,1,1,0,1,1,27,Regular,Malo,M,1,SPA,32,69,29,69,32,47,14,34,81,82,98,82,60,79,19,0,0,0,0,0,0,0,1,0,Bueno,CON OBSERVACIONES-EVALUABLE,[2]Media_Propension,Cliente Finaciado,SI,RED SUCURSALES
8929171,castigado,OMS,Segmento A,Segmento B,Region 2,Zona 3,0,1,0,1,1,1,1,1,0,0,1,31,Bueno,Bueno,M,2,Sindicatos,56,2,50,42,0,14,41,73,3,40,37,52,40,97,22,0,1,0,1,1,1,0,0,1,Malo,CON OBSERVACIONES-EVALUABLE,[1]Alta_Propension,Cliente No Financiado,SI,VENTA CENTRALIZADA
3863481,deudor no comercial,Agricola,Segmento A,Segmento A,Region 2,Zona 1,0,1,1,1,1,1,0,1,0,1,1,32,Regular,Regular,M,1,Cooperativas,59,53,8,72,80,76,46,16,39,97,5,47,13,2,54,1,0,0,1,0,1,1,0,0,Bueno,SUJETO DE CREDITO-EVALUABLE,[2]Media_Propension,Cliente Finaciado,SI,SALESFORCE - CCL
